iter	RMSE
0	11798.71138
1	11446.51361
2	11164.25008
3	10866.27585
4	10591.90006
5	10322.38928
6	10042.36417
7	9790.654839
8	9546.440052
9	9301.284963
10	9089.898573
11	8876.216445
12	8689.528304
13	8501.951672
14	8304.169187
15	8145.359431
16	7965.368988
17	7779.349311
18	7610.601342
19	7480.526788
20	7327.037307
21	7184.60938
22	7046.768303
23	6921.430395
24	6805.610929
25	6682.927771
26	6573.012244
27	6456.059343
28	6348.84156
29	6247.236523
30	6157.027364
31	6074.636839
32	5995.883236
33	5918.994689
34	5841.431993
35	5769.785848
36	5707.68397
37	5644.484198
38	5579.907939
39	5517.728066
40	5462.724403
41	5406.866678
42	5355.067178
43	5306.394198
44	5262.018025
45	5220.080833
46	5178.775048
47	5142.73191
48	5101.819738
49	5063.046394
50	5030.727276
51	4997.787847
52	4969.105111
53	4939.089632
54	4913.254332
55	4885.115698
56	4861.288337
57	4835.286915
58	4808.780788
59	4787.074441
60	4765.768921
61	4745.357612
62	4724.765758
63	4706.325065
64	4690.082566
65	4671.697127
66	4653.917221
67	4640.382404
68	4622.876673
69	4606.771477
70	4588.048582
71	4572.207313
72	4553.374716
73	4541.859507
74	4529.028589
75	4520.588232
76	4507.945227
77	4498.214567
78	4487.497025
79	4475.664018
80	4466.961762
81	4455.935901
82	4446.754504
83	4437.911301
84	4430.297398
85	4423.321944
86	4414.12709
87	4403.469173
88	4397.482668
89	4388.695689
90	4381.195388
91	4377.002765
92	4371.475691
93	4360.325846
94	4352.780882
95	4344.195972
96	4333.986583
97	4329.47624
98	4324.959655
99	4318.25558
100	4313.778594
101	4303.676447
102	4299.09567
103	4292.631797
104	4287.407501
105	4283.646809
106	4273.21837
107	4267.233439
108	4262.696213
109	4258.669658
110	4253.416384
111	4250.805702
112	4244.098767
113	4234.66996
114	4230.888727
115	4226.681187
116	4222.676674
117	4217.10554
118	4213.654015
119	4210.316426
120	4206.055231
121	4203.062359
122	4200.194622
123	4198.537314
124	4190.677413
125	4187.878481
126	4181.965952
127	4176.996924
128	4173.402465
129	4171.404786
130	4169.263726
131	4160.516005
132	4156.201525
133	4151.593158
134	4148.450313
135	4135.993964
136	4131.772708
