iter	Passed	Remaining
0	8	8767
1	19	9979
2	29	9944
3	39	9736
4	49	9918
5	63	10463
6	72	10252
7	81	10154
8	92	10181
9	101	10025
10	112	10085
11	119	9860
12	127	9694
13	134	9451
14	140	9247
15	147	9051
16	154	8927
17	162	8869
18	169	8746
19	177	8675
20	183	8542
21	191	8505
22	197	8409
23	204	8331
24	212	8293
25	219	8217
26	226	8166
27	231	8034
28	240	8043
29	247	8017
30	271	8475
31	277	8397
32	284	8348
33	292	8297
34	298	8234
35	311	8344
36	320	8336
37	327	8291
38	335	8262
39	342	8225
40	350	8196
41	358	8170
42	366	8152
43	373	8116
44	382	8124
45	389	8082
46	396	8044
47	403	8007
48	411	7984
49	419	7966
50	426	7927
51	433	7902
52	441	7890
53	448	7858
54	455	7834
55	463	7811
56	470	7786
57	477	7751
58	484	7729
59	492	7710
60	499	7689
61	506	7664
62	514	7658
63	521	7627
64	529	7609
65	536	7588
66	543	7565
67	550	7550
68	558	7531
69	564	7500
70	572	7494
71	579	7475
72	587	7455
73	594	7440
74	601	7423
75	604	7354
76	612	7343
77	620	7328
78	627	7317
79	634	7301
80	642	7292
81	649	7268
82	656	7256
83	665	7254
84	672	7233
85	678	7215
86	686	7206
87	694	7194
88	700	7172
89	708	7162
90	716	7156
91	724	7147
92	731	7134
93	738	7117
94	745	7097
95	753	7095
96	760	7078
97	768	7073
98	775	7056
99	782	7039
100	790	7035
101	797	7018
102	806	7025
103	815	7025
104	822	7013
105	830	7001
106	837	6990
107	847	6997
108	859	7023
109	869	7032
110	879	7039
111	888	7040
112	896	7037
113	907	7049
114	919	7076
115	931	7096
116	939	7089
117	949	7097
118	958	7095
119	968	7105
120	977	7104
121	986	7102
122	996	7101
123	1005	7105
124	1015	7111
125	1028	7132
126	1037	7132
127	1046	7129
128	1055	7125
129	1064	7126
130	1073	7120
131	1082	7121
132	1094	7136
133	1102	7124
134	1112	7125
135	1120	7119
136	1130	7121
137	1139	7116
138	1149	7118
139	1161	7135
140	1172	7140
141	1183	7148
142	1191	7143
143	1200	7134
144	1209	7131
145	1218	7125
146	1226	7117
147	1236	7118
148	1249	7134
149	1262	7152
150	1271	7148
151	1281	7149
152	1293	7161
153	1305	7169
154	1314	7167
155	1329	7190
156	1340	7197
157	1349	7190
158	1356	7175
159	1363	7160
160	1373	7158
161	1382	7152
162	1392	7152
163	1401	7146
164	1407	7121
165	1414	7107
166	1422	7097
167	1429	7081
168	1434	7054
169	1441	7040
170	1451	7035
171	1458	7021
172	1467	7013
173	1473	6994
174	1481	6983
175	1488	6970
176	1495	6955
177	1504	6946
178	1512	6935
179	1518	6919
180	1526	6905
181	1532	6889
182	1542	6886
183	1554	6892
184	1561	6878
185	1568	6863
186	1575	6850
187	1583	6838
188	1589	6820
189	1597	6809
190	1604	6794
191	1612	6785
192	1619	6770
193	1630	6775
194	1638	6765
195	1647	6758
196	1654	6745
197	1662	6732
198	1669	6718
199	1676	6705
200	1684	6694
201	1692	6684
202	1699	6672
203	1706	6657
204	1713	6644
